part,model,optimization,opt_arm_id,opt_is_reference,opt_input_size,opt_n_slices,opt_augmentation,tumor_context_mode,roi_only_background_value,AUC,DeLong_CI_lower,DeLong_CI_upper,AUC_with_DeLong_95CI,Jackknife_CI_lower,Jackknife_CI_upper,AUC_with_Jackknife_95CI,Jackknife_min_AUC,Jackknife_max_AUC,Bootstrap_CI_lower,Bootstrap_CI_upper,AUC_with_Bootstrap_95CI,Bootstrap_repeats,Brier_score,n_test_patients,OOF_threshold,OOF_accuracy,OOF_balanced_accuracy,OOF_sensitivity,OOF_specificity,OOF_F1_score,OOF_MCC,OOF_YOUDEN,OOF_threshold_source,INSAMPLE_threshold,INSAMPLE_accuracy,INSAMPLE_balanced_accuracy,INSAMPLE_sensitivity,INSAMPLE_specificity,INSAMPLE_F1_score,INSAMPLE_MCC,INSAMPLE_YOUDEN,INSAMPLE_threshold_source,toprisk_percent,toprisk_threshold,toprisk_accuracy,toprisk_balanced_accuracy,toprisk_sensitivity,toprisk_specificity,toprisk_F1_score,toprisk_MCC,toprisk_threshold_source,DeLong_CI_method,Jackknife_CI_method,Bootstrap_CI_method
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.845878136200717,0.6691569731336989,1.0,0.846 (0.669–1.000),0.6619912750322744,1.0,0.846 (0.662–1.000),0.8306451612903225,0.9274193548387097,0.6559139784946236,0.9820788530465949,0.846 (0.656–0.982),2000,0.13145605777612607,40,0.19327434090969212,0.85,0.8637992831541219,0.8888888888888888,0.8387096774193549,0.7272727272727273,0.6486947424124406,0.7275985663082438,development pooled OOF Youden threshold applied unchanged to holdout,0.04001500650540121,0.7,0.7670250896057347,0.8888888888888888,0.6451612903225806,0.5714285714285714,0.4465784056997895,0.5340501792114694,full-development in-sample Youden threshold applied to holdout,25.0,0.6563358737807161,0.875,0.8405017921146953,0.7777777777777778,0.9032258064516129,0.7368421052631579,0.6567360733292693,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8100358422939067,0.5885211139353396,1.0,0.810 (0.589–1.000),0.5784562114379604,1.0,0.810 (0.578–1.000),0.7862903225806451,0.9112903225806451,0.5806451612903225,0.985663082437276,0.810 (0.581–0.986),2000,0.2274557037248397,40,0.5599753094226787,0.675,0.7114695340501792,0.7777777777777778,0.6451612903225806,0.5185185185185185,0.35500323670398953,0.4229390681003584,development pooled OOF Youden threshold applied unchanged to holdout,0.4908362843115096,0.65,0.7347670250896057,0.8888888888888888,0.5806451612903226,0.5333333333333333,0.3926293365548485,0.46953405017921135,full-development in-sample Youden threshold applied to holdout,25.0,0.6586584748177086,0.875,0.8405017921146953,0.7777777777777778,0.9032258064516129,0.7368421052631579,0.6567360733292693,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7849462365591398,0.5574181147252061,1.0,0.785 (0.557–1.000),0.5470526933242931,1.0,0.785 (0.547–1.000),0.7580645161290323,0.8790322580645161,0.5590501792114696,0.971326164874552,0.785 (0.559–0.971),2000,0.2250580745923833,40,0.4900246275225082,0.55,0.6308243727598566,0.7777777777777778,0.4838709677419355,0.4375,0.22102040978616352,0.2616487455197132,development pooled OOF Youden threshold applied unchanged to holdout,0.5203088442844948,0.625,0.6792114695340502,0.7777777777777778,0.5806451612903226,0.4827586206896552,0.2993421700446248,0.3584229390681004,full-development in-sample Youden threshold applied to holdout,25.0,0.603457762765769,0.825,0.7688172043010753,0.6666666666666666,0.8709677419354839,0.631578947368421,0.5184758473652127,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7777777777777778,0.5919833977229814,0.963572157832574,0.778 (0.592–0.964),0.5845080891299026,0.971047466425653,0.778 (0.585–0.971),0.75,0.8427419354838709,0.5878136200716846,0.931899641577061,0.778 (0.588–0.932),2000,0.26998906688801727,40,0.6009734068513926,0.65,0.6953405017921147,0.7777777777777778,0.6129032258064516,0.5,0.3266915853776984,0.3906810035842294,development pooled OOF Youden threshold applied unchanged to holdout,0.371103243727268,0.625,0.7186379928315412,0.8888888888888888,0.5483870967741935,0.5161290322580645,0.3670372447278536,0.43727598566308234,full-development in-sample Youden threshold applied to holdout,25.0,0.8907657982531266,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_densenet121|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7777777777777778,0.5677933371772004,0.9877622183783552,0.778 (0.568–0.988),0.5587086343407336,0.996846921214822,0.778 (0.559–0.997),0.7499999999999999,0.8629032258064516,0.5627240143369175,0.956989247311828,0.778 (0.563–0.957),2000,0.23423674718434712,40,0.4657561853528023,0.275,0.492831541218638,0.8888888888888888,0.0967741935483871,0.35555555555555557,-0.019956144669641657,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.48202499747276306,0.825,0.7688172043010753,0.6666666666666666,0.8709677419354839,0.631578947368421,0.5184758473652127,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet18__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7634408602150538,0.5936096246446763,0.9332720957854312,0.763 (0.594–0.933),0.5877843466564856,0.9390973737736219,0.763 (0.588–0.939),0.7338709677419355,0.8024193548387096,0.5841397849462366,0.9175627240143369,0.763 (0.584–0.918),2000,0.2560287760690073,40,0.3541763945277779,0.65,0.5770609318996416,0.4444444444444444,0.7096774193548387,0.36363636363636365,0.13740824592972878,0.15412186379928317,development pooled OOF Youden threshold applied unchanged to holdout,0.6078747697865834,0.675,0.5931899641577061,0.4444444444444444,0.7419354838709677,0.38095238095238093,0.16983672369508446,0.18637992831541217,full-development in-sample Youden threshold applied to holdout,25.0,0.8353039073373005,0.725,0.6254480286738351,0.4444444444444444,0.8064516129032258,0.42105263157894735,0.24195539543709924,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,imagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7526881720430108,0.5481805632323835,0.957195780853638,0.753 (0.548–0.957),0.5395640809667251,0.9658122631192964,0.753 (0.540–0.966),0.7217741935483871,0.8266129032258065,0.5412186379928315,0.9283154121863799,0.753 (0.541–0.928),2000,0.2634264459665937,40,0.4885709434747696,0.6,0.7025089605734767,0.8888888888888888,0.5161290322580645,0.5,0.34212748364159556,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.710259735584259,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,imagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7455197132616487,0.536965920580714,0.9540735059425836,0.746 (0.537–0.954),0.5281055232722086,0.9629339032510887,0.746 (0.528–0.963),0.7137096774193548,0.8104838709677419,0.5232974910394266,0.9283154121863799,0.746 (0.523–0.928),2000,0.22586593200879923,40,0.4588376134634018,0.6,0.6630824372759856,0.7777777777777778,0.5483870967741935,0.4666666666666667,0.27274251623275736,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.6471554040908813,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7383512544802867,0.5216394772684514,0.9550630316921223,0.738 (0.522–0.955),0.512382275425876,0.9643202335346974,0.738 (0.512–0.964),0.7056451612903226,0.8225806451612904,0.5160394265232976,0.9212365591397845,0.738 (0.516–0.921),2000,0.2082065897422265,40,0.5154498517513275,0.8,0.6344086021505376,0.3333333333333333,0.9354838709677419,0.42857142857142855,0.33942211665106536,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.48378247022628784,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.7347670250896058,0.5060041357748288,0.9635299144043827,0.735 (0.506–0.964),0.4959164283014681,0.9736176218777435,0.735 (0.496–0.974),0.7016129032258065,0.8185483870967741,0.5017921146953405,0.9354838709677419,0.735 (0.502–0.935),2000,0.193837307338014,40,0.5197673812508583,0.775,0.7365591397849462,0.6666666666666666,0.8064516129032258,0.5714285714285714,0.4311239909182913,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5481485724449158,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet18__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7347670250896058,0.5255831709888865,0.9439508791903248,0.735 (0.526–0.944),0.5168045503119133,0.9527294998672983,0.735 (0.517–0.953),0.7016129032258064,0.8064516129032258,0.5161290322580645,0.9212365591397845,0.735 (0.516–0.921),2000,0.21355919390269876,40,0.6863149675827294,0.775,0.6577060931899641,0.4444444444444444,0.8709677419354839,0.47058823529411764,0.3292763870490873,0.3154121863799282,development pooled OOF Youden threshold applied unchanged to holdout,0.5457259227696452,0.7,0.6487455197132617,0.5555555555555556,0.7419354838709677,0.45454545454545453,0.2652298700504067,0.29749103942652333,full-development in-sample Youden threshold applied to holdout,25.0,0.6016695112007419,0.775,0.6971326164874552,0.5555555555555556,0.8387096774193549,0.5263157894736842,0.38021562140115595,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
