part,model,optimization,opt_arm_id,opt_is_reference,opt_input_size,opt_n_slices,opt_augmentation,tumor_context_mode,roi_only_background_value,AUC,DeLong_CI_lower,DeLong_CI_upper,AUC_with_DeLong_95CI,Jackknife_CI_lower,Jackknife_CI_upper,AUC_with_Jackknife_95CI,Jackknife_min_AUC,Jackknife_max_AUC,Bootstrap_CI_lower,Bootstrap_CI_upper,AUC_with_Bootstrap_95CI,Bootstrap_repeats,Brier_score,n_test_patients,OOF_threshold,OOF_accuracy,OOF_balanced_accuracy,OOF_sensitivity,OOF_specificity,OOF_F1_score,OOF_MCC,OOF_YOUDEN,OOF_threshold_source,INSAMPLE_threshold,INSAMPLE_accuracy,INSAMPLE_balanced_accuracy,INSAMPLE_sensitivity,INSAMPLE_specificity,INSAMPLE_F1_score,INSAMPLE_MCC,INSAMPLE_YOUDEN,INSAMPLE_threshold_source,toprisk_percent,toprisk_threshold,toprisk_accuracy,toprisk_balanced_accuracy,toprisk_sensitivity,toprisk_specificity,toprisk_F1_score,toprisk_MCC,toprisk_threshold_source,DeLong_CI_method,Jackknife_CI_method,Bootstrap_CI_method
4_cnn_finetuned,radimagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.8355555555555555,0.6349198299046355,1.0,0.836 (0.635–1.000),0.6266388982310871,1.0,0.836 (0.627–1.000),0.8150000000000001,0.9299999999999999,0.6177777777777778,0.9822222222222222,0.836 (0.618–0.982),2000,0.2212096382860502,34,0.5178820788860321,0.8529411764705882,0.7577777777777778,0.5555555555555556,0.96,0.6666666666666666,0.5966396198534221,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5104254484176636,0.7647058823529411,0.6977777777777778,0.5555555555555556,0.84,0.5555555555555556,0.39555555555555555,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,imagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8088888888888889,0.644281106911457,0.9734966708663207,0.809 (0.644–0.973),0.6386956224325857,0.979082155345192,0.809 (0.639–0.979),0.785,0.865,0.6355555555555555,0.9422222222222223,0.809 (0.636–0.942),2000,0.21755048563375054,34,0.5341513827443123,0.6764705882352942,0.7088888888888889,0.7777777777777778,0.64,0.56,0.36926687461964147,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.6975395083427429,0.7647058823529411,0.6977777777777778,0.5555555555555556,0.84,0.5555555555555556,0.39555555555555555,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet50|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8044444444444444,0.6446315282197653,0.9642573606691237,0.804 (0.645–0.964),0.6401222678679244,0.9687666210209644,0.804 (0.640–0.969),0.785,0.8500000000000001,0.6311111111111111,0.9466666666666667,0.804 (0.631–0.947),2000,0.18070473045640492,34,0.41023088991642,0.6470588235294118,0.6888888888888889,0.7777777777777778,0.6,0.5384615384615384,0.3333333333333333,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5684669613838196,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_densenet121|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8044444444444444,0.601910929990398,1.0,0.804 (0.602–1.000),0.5938156191401285,1.0,0.804 (0.594–1.000),0.78,0.8900000000000001,0.5910000000000001,0.9644444444444444,0.804 (0.591–0.964),2000,0.23121880159825953,34,0.46448709070682526,0.5882352941176471,0.6844444444444444,0.8888888888888888,0.48,0.5333333333333333,0.33489256807673734,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.47883713245391846,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7999999999999999,0.5883818511203827,1.0,0.800 (0.588–1.000),0.5795364618744734,1.0,0.800 (0.580–1.000),0.775,0.89,0.5688888888888889,0.9688888888888889,0.800 (0.569–0.969),2000,0.20562671670895083,34,0.46841367212881535,0.6470588235294118,0.6888888888888889,0.7777777777777778,0.6,0.5384615384615384,0.3333333333333333,0.37777777777777777,development pooled OOF Youden threshold applied unchanged to holdout,0.5211822697359758,0.7352941176470589,0.7488888888888889,0.7777777777777778,0.72,0.6086956521739131,0.4462186808181737,0.4977777777777779,full-development in-sample Youden threshold applied to holdout,25.0,0.5996611346962337,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7822222222222223,0.5542902936400287,1.0,0.782 (0.554–1.000),0.5445153675202925,1.0,0.782 (0.545–1.000),0.755,0.8500000000000001,0.5333333333333333,0.9688888888888889,0.782 (0.533–0.969),2000,0.2749229763481217,34,0.7678178260242788,0.7058823529411765,0.6933333333333334,0.6666666666666666,0.72,0.5454545454545454,0.3510319689479054,0.3866666666666667,development pooled OOF Youden threshold applied unchanged to holdout,0.5998728014725636,0.6470588235294118,0.6533333333333333,0.6666666666666666,0.64,0.5,0.2724804837691825,0.30666666666666664,full-development in-sample Youden threshold applied to holdout,25.0,0.9146448727283095,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.76,0.5178757767844258,1.0,0.760 (0.518–1.000),0.5074404497476852,1.0,0.760 (0.507–1.000),0.73,0.84,0.5066666666666667,0.9688888888888889,0.760 (0.507–0.969),2000,0.16475062376723343,34,0.0068517172439706425,0.5882352941176471,0.6488888888888888,0.7777777777777778,0.52,0.5,0.2645824987323946,0.2977777777777777,development pooled OOF Youden threshold applied unchanged to holdout,0.5361457608158379,0.7647058823529411,0.6977777777777778,0.5555555555555556,0.84,0.5555555555555556,0.39555555555555555,0.39555555555555566,full-development in-sample Youden threshold applied to holdout,25.0,0.542224645026867,0.7647058823529411,0.6977777777777778,0.5555555555555556,0.84,0.5555555555555556,0.39555555555555555,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_resnet50|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.76,0.5510733279274886,0.9689266720725114,0.760 (0.551–0.969),0.5428774766263118,0.9771225233736882,0.760 (0.543–0.977),0.73,0.8300000000000001,0.5377777777777778,0.9378888888888883,0.760 (0.538–0.938),2000,0.17690116509764492,34,0.3636035621166229,0.6470588235294118,0.6533333333333333,0.6666666666666666,0.64,0.5,0.2724804837691825,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.5940727591514587,0.7647058823529411,0.6977777777777778,0.5555555555555556,0.84,0.5555555555555556,0.39555555555555555,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,imagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7511111111111111,0.5275206071187271,0.9747016151034951,0.751 (0.528–0.975),0.5183011802587234,0.9839210419634987,0.751 (0.518–0.984),0.72,0.8300000000000001,0.52,0.9423333333333328,0.751 (0.520–0.942),2000,0.20537611141925452,34,0.4348616898059845,0.5882352941176471,0.6488888888888888,0.7777777777777778,0.52,0.5,0.2645824987323946,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.6358363628387451,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.7377777777777778,0.48444780518400526,0.9911077503715504,0.738 (0.484–0.991),0.47342129175070446,1.0,0.738 (0.473–1.000),0.7050000000000001,0.8250000000000001,0.48000000000000004,0.9511111111111111,0.738 (0.480–0.951),2000,0.21755299038242754,34,0.4442870853350668,0.5,0.5888888888888889,0.7777777777777778,0.4,0.45161290322580644,0.16412198797244365,0.1777777777777778,development pooled OOF Youden threshold applied unchanged to holdout,0.4805970775087454,0.5882352941176471,0.6133333333333333,0.6666666666666666,0.56,0.46153846153846156,0.2,0.22666666666666657,full-development in-sample Youden threshold applied to holdout,25.0,0.6413653195840378,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
4_cnn_finetuned,radimagenet_densenet121|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,0.7377777777777776,0.4958625751888106,0.9796929803667451,0.738 (0.496–0.980),0.4857463101575811,0.9898092453979742,0.738 (0.486–0.990),0.705,0.8049999999999999,0.49777777777777776,0.9377777777777777,0.738 (0.498–0.938),2000,0.20355068571688,34,0.5265909135341644,0.7941176470588235,0.7533333333333333,0.6666666666666666,0.84,0.631578947368421,0.49057789051960615,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.6393575668334961,0.8235294117647058,0.7733333333333333,0.6666666666666666,0.88,0.6666666666666666,0.5466666666666666,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
