part,model,optimization,opt_arm_id,opt_is_reference,opt_input_size,opt_n_slices,opt_augmentation,tumor_context_mode,roi_only_background_value,AUC,DeLong_CI_lower,DeLong_CI_upper,AUC_with_DeLong_95CI,Jackknife_CI_lower,Jackknife_CI_upper,AUC_with_Jackknife_95CI,Jackknife_min_AUC,Jackknife_max_AUC,Bootstrap_CI_lower,Bootstrap_CI_upper,AUC_with_Bootstrap_95CI,Bootstrap_repeats,Brier_score,n_test_patients,OOF_threshold,OOF_accuracy,OOF_balanced_accuracy,OOF_sensitivity,OOF_specificity,OOF_F1_score,OOF_MCC,OOF_YOUDEN,OOF_threshold_source,INSAMPLE_threshold,INSAMPLE_accuracy,INSAMPLE_balanced_accuracy,INSAMPLE_sensitivity,INSAMPLE_specificity,INSAMPLE_F1_score,INSAMPLE_MCC,INSAMPLE_YOUDEN,INSAMPLE_threshold_source,toprisk_percent,toprisk_threshold,toprisk_accuracy,toprisk_balanced_accuracy,toprisk_sensitivity,toprisk_specificity,toprisk_F1_score,toprisk_MCC,toprisk_threshold_source,DeLong_CI_method,Jackknife_CI_method,Bootstrap_CI_method
4_cnn_finetuned,radimagenet_resnet10t|finetune_improved|thrfull,False,,False,224,1,BASIC,MIN_BBOX,,1.0,1.0,1.0,1.000 (1.000–1.000),1.0,1.0,1.000 (1.000–1.000),1.0,1.0,0.9999999999999999,1.0,1.000 (1.000–1.000),2000,0.18005592145422394,28,0.4738549739122391,1.0,1.0,1.0,1.0,1.0,1.0,,median repeat-wise development fine-tuned outer-OOF Youden threshold matched to final refit model family applied unchanged to holdout,,,,,,,,,,25.0,0.4706820249557495,0.9642857142857143,0.9772727272727273,1.0,0.9545454545454546,0.9230769230769231,0.9045340337332909,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_densenet121|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.9393939393939394,0.8157578670668123,1.0,0.939 (0.816–1.000),0.8070490529655092,1.0,0.939 (0.807–1.000),0.9272727272727272,1.0,0.7727272727272727,1.0,0.939 (0.773–1.000),2000,0.18005530729931887,28,0.4686697795987129,0.7142857142857143,0.8181818181818181,1.0,0.6363636363636364,0.6,0.5222329678670935,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5595543384552002,0.8928571428571429,0.8712121212121212,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7035264706814485,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8939393939393939,0.6832551772944044,1.0,0.894 (0.683–1.000),0.6676866702224862,1.0,0.894 (0.668–1.000),0.8727272727272728,1.0,0.6363636363636364,1.0,0.894 (0.636–1.000),2000,0.20424929371231706,28,0.5501219612506663,0.6785714285714286,0.7348484848484849,0.8333333333333334,0.6363636363636364,0.5263157894736842,0.3864447558701623,0.4696969696969697,development pooled OOF Youden threshold applied unchanged to holdout,0.48261037476258795,0.6071428571428571,0.6893939393939394,0.8333333333333334,0.5454545454545454,0.47619047619047616,0.31164899666948576,0.3787878787878789,full-development in-sample Youden threshold applied to holdout,25.0,0.6262885644453968,0.8928571428571429,0.8712121212121212,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7035264706814485,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_densenet121__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8939393939393939,0.7133496005130229,1.0,0.894 (0.713–1.000),0.7004736513000047,1.0,0.894 (0.700–1.000),0.8727272727272728,0.9818181818181818,0.6742424242424242,1.0,0.894 (0.674–1.000),2000,0.3250896333594914,28,0.8789382330299468,0.75,0.7803030303030303,0.8333333333333334,0.7272727272727273,0.5882352941176471,0.47100330099123966,0.5606060606060606,development pooled OOF Youden threshold applied unchanged to holdout,0.3889238580233969,0.6071428571428571,0.6893939393939394,0.8333333333333334,0.5454545454545454,0.47619047619047616,0.31164899666948576,0.3787878787878789,full-development in-sample Youden threshold applied to holdout,25.0,0.9792436206268451,0.8928571428571429,0.8712121212121212,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7035264706814485,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8863636363636364,0.6611793519758454,1.0,0.886 (0.661–1.000),0.6444661819837356,1.0,0.886 (0.644–1.000),0.8636363636363636,1.0,0.6136363636363636,1.0,0.886 (0.614–1.000),2000,0.1976871406746227,28,0.5364531739590999,0.7857142857142857,0.803030303030303,0.8333333333333334,0.7727272727272727,0.625,0.518999296107682,0.606060606060606,development pooled OOF Youden threshold applied unchanged to holdout,0.5472944892795044,0.8214285714285714,0.8257575757575758,0.8333333333333334,0.8181818181818182,0.6666666666666666,0.572418195745458,0.6515151515151516,full-development in-sample Youden threshold applied to holdout,25.0,0.6249082735605398,0.8928571428571429,0.8712121212121212,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7035264706814485,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|LOGREG,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8712121212121211,0.7104669388675129,1.0,0.871 (0.710–1.000),0.7006555543891404,1.0,0.871 (0.701–1.000),0.8454545454545455,0.9363636363636363,0.6818181818181819,0.9924242424242424,0.871 (0.682–0.992),2000,0.20608935462893255,28,0.5090644335632646,0.7142857142857143,0.7575757575757576,0.8333333333333334,0.6818181818181818,0.5555555555555556,0.4271410714851651,0.5151515151515151,development pooled OOF Youden threshold applied unchanged to holdout,0.51097578172848,0.7142857142857143,0.7575757575757576,0.8333333333333334,0.6818181818181818,0.5555555555555556,0.4271410714851651,0.5151515151515151,full-development in-sample Youden threshold applied to holdout,25.0,0.5914020229161333,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,imagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8712121212121211,0.6881395995865627,1.0,0.871 (0.688–1.000),0.6756516580411094,1.0,0.871 (0.676–1.000),0.8454545454545455,0.9545454545454545,0.6590909090909091,1.0,0.871 (0.659–1.000),2000,0.24871397063723313,28,0.5044063638111268,0.6428571428571429,0.7121212121212122,0.8333333333333334,0.5909090909090909,0.5,0.3481553119113957,0.4242424242424243,development pooled OOF Youden threshold applied unchanged to holdout,0.4696462103224014,0.6428571428571429,0.7121212121212122,0.8333333333333334,0.5909090909090909,0.5,0.3481553119113957,0.4242424242424243,full-development in-sample Youden threshold applied to holdout,25.0,0.9479517073394909,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet10t|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8636363636363635,0.6995173168444472,1.0,0.864 (0.700–1.000),0.6897337235575508,1.0,0.864 (0.690–1.000),0.8363636363636363,0.9090909090909091,0.6818181818181818,0.9924242424242424,0.864 (0.682–0.992),2000,0.16462023748632706,28,0.5059667527675629,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5147286653518677,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
1_cnn_end2end,radimagenet_resnet50|frozen|thrfull,False,,False,224,1,FLIPS,MIN_BBOX,,0.8484848484848484,0.6517143577915135,1.0,0.848 (0.652–1.000),0.6398715638595693,1.0,0.848 (0.640–1.000),0.8272727272727273,0.9363636363636363,0.6212121212121212,1.0,0.848 (0.621–1.000),2000,0.1862421096424657,28,0.46859511733055115,0.7142857142857143,0.7575757575757576,0.8333333333333334,0.6818181818181818,0.5555555555555556,0.4271410714851651,,development pooled OOF Youden threshold applied unchanged to holdout,,,,,,,,,,25.0,0.5788013935089111,0.8928571428571429,0.8712121212121212,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.7035264706814485,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_resnet10t__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8409090909090909,0.6425126775601284,1.0,0.841 (0.643–1.000),0.6298077059743303,1.0,0.841 (0.630–1.000),0.8090909090909091,0.9272727272727272,0.6363636363636364,1.0,0.841 (0.636–1.000),2000,0.12519592744108018,28,0.09138950131638846,0.75,0.7803030303030303,0.8333333333333334,0.7272727272727273,0.5882352941176471,0.47100330099123966,0.5606060606060606,development pooled OOF Youden threshold applied unchanged to holdout,0.06875420805036495,0.7142857142857143,0.7575757575757576,0.8333333333333334,0.6818181818181818,0.5555555555555556,0.4271410714851651,0.5151515151515151,full-development in-sample Youden threshold applied to holdout,25.0,0.20548889858189726,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
3_efficient_ml,radimagenet_inceptionv3__gray3__label_thrfull__efficient_ML|NAIVE_BAYES,False,,False,224,1,NOT_APPLICABLE,MIN_BBOX,,0.8257575757575758,0.6382877861281842,1.0,0.826 (0.638–1.000),0.62740019523505,1.0,0.826 (0.627–1.000),0.7909090909090909,0.9,0.6060606060606061,0.9772727272727273,0.826 (0.606–0.977),2000,0.3170579039786909,28,0.9782171159548317,0.7857142857142857,0.7424242424242424,0.6666666666666666,0.8181818181818182,0.5714285714285714,0.4403855060505443,0.48484848484848486,development pooled OOF Youden threshold applied unchanged to holdout,0.8860453099792513,0.75,0.7803030303030303,0.8333333333333334,0.7272727272727273,0.5882352941176471,0.47100330099123966,0.5606060606060606,full-development in-sample Youden threshold applied to holdout,25.0,0.9819181223384571,0.8214285714285714,0.7651515151515151,0.6666666666666666,0.8636363636363636,0.6153846153846154,0.502518907629606,top 25% risk scores in evaluated set,single-model DeLong variance; normal 95% CI,delete-one patient jackknife; normal 95% CI,stratified patient-level nonparametric bootstrap; percentile 95% CI
